duration,genders,outcome,age
12.656952673149231,Female,0,Youth
3.7474022526293993,Female,1,Youth
3.2028033398091793,Male,1,Youth
10.70390235590649,Female,0,Adult
12.15386631856573,Female,1,Child
19.835886730903628,Male,0,Child
21.831435913548614,Male,0,Senior
21.11622759878353,Female,1,Child
6.704682777635753,Male,1,Adult
19.383298884237053,Female,1,Adult
4.649786185473204,Female,0,Adult
10.416343565610173,Female,1,Senior
10.479748723608378,Male,1,Adult
35.0448503137982,Female,0,Child
3.077565226703882,Female,1,Adult
4.498387118801475,Male,1,Senior
8.313015540641667,Male,0,Youth
2.4232980007896807,Male,0,Senior
8.748723538172365,Female,1,Youth
16.432754977203814,Male,0,Adult
4.2915294878184795,Male,0,Adult
2.0777810779392274,Male,0,Adult
21.841730567297702,Male,1,Adult
6.685743941925466,Female,1,Adult
4.7257242584601045,Male,1,Child
7.535816961099125,Female,1,Adult
12.176693165254715,Female,1,Senior
42.061099891824256,Female,1,Adult
21.521178491057075,Male,1,Adult
0.14949046075344086,Male,0,Child
