time,succ,age
2.440337468869984,1,Adult
56.88715561888315,1,Adult
15.118503867739681,1,Adult
12.727752299559238,1,Adult
10.704843904402974,1,Adult
10.256405071866634,1,Adult
0.18707646057009697,1,Adult
1.0386698138892325,1,Adult
16.057420338208924,1,Adult
9.191706718549442,1,Adult
8.696342482742788,1,Adult
4.998746153597109,1,Adult
15.108707453215365,1,Adult
1.1500038730151994,1,Adult
20.394282302910334,1,Adult
1.5180040057748556,0,Adult
7.628328734588744,1,Adult
10.03155150408757,1,Adult
6.302276051562258,1,Adult
12.649288391274336,1,Adult
8.444284158606095,0,Adult
32.321293128836636,1,Adult
9.59826395804894,1,Adult
11.331965485167625,0,Adult
3.1948751024901867,1,Adult
15.038144997412209,1,Adult
17.1726111127975,1,Adult
0.21630654111504555,1,Adult
6.520387069322169,1,Adult
19.36981508424306,1,Adult
3.623390602879226,1,Adult
18.447761795574667,1,Adult
3.031039140187204,1,Adult
13.491154359233501,1,Adult
2.554899440793581,0,Adult
3.952427674084902,1,Adult
2.8194753313437104,1,Adult
4.950771126896143,1,Adult
2.790954289957881,1,Adult
6.34517228230834,1,Adult
28.375093786228188,1,Adult
4.317759200930595,1,Adult
13.11298712114704,1,Adult
2.796197459101677,1,Adult
3.8048453582450747,1,Adult
20.569121576005465,0,Adult
14.091172273361925,1,Adult
21.101133512460564,1,Adult
0.06492421621073842,1,Adult
0.6898320532881252,1,Adult
11.301152286232796,0,Child
0.608923826366663,0,Child
8.548001701973467,1,Child
7.372572001028558,0,Child
1.445318991318345,0,Child
5.415855674299035,0,Child
8.882230842803875,0,Child
0.24925898779632083,1,Child
5.494030145718218,0,Child
2.3792505636811256,0,Child
4.369451268366039,0,Child
0.4216333241408853,0,Child
0.4056372889317572,0,Child
3.530434611974717,0,Child
17.98668850862939,0,Child
3.6607923219157974,0,Child
0.650512333959341,0,Child
2.8580583864822984,0,Child
6.8492540901289,0,Child
0.24319475516676903,0,Child
2.5520454061223092,0,Child
3.1329023651352372,1,Child
0.6160675920546055,0,Child
5.799154446220864,0,Child
3.3064051903784275,0,Child
4.14068676359426,0,Child
9.580649956640721,0,Child
1.2909972924017583,0,Child
10.587892969440105,0,Child
0.08138794917613268,0,Child
